Fiat 500;69900;48.000;Haderslev;2012;https://www.biltorvet.dk/bil/fiat/500/0-9-twinair---by-abarth/1650719
Fiat 500;495000;1.000;Vejle Øst;1964;https://www.biltorvet.dk/bil/fiat/500/0-6-595-abarth/1720144
Fiat 500;54900;130.000;Køge;2012;https://www.biltorvet.dk/bil/fiat/500/0-9-twinair---by-abarth/1756390
Fiat 500;47500;129.000;Thisted;2012;https://www.biltorvet.dk/bil/fiat/500/0-9-twinair---by-abarth/1707672
Abarth 695;350000;-;Silkeborg;2018;https://www.biltorvet.dk/fabriksnye-biler/abarth/-/1-4-t-jet-180-rivale/1765254
Abarth 500C;329995;39.000;Silkeborg;2013;https://www.biltorvet.dk/bil/abarth/-/1-4-t-jet-595-competizione-aut/1757976
Abarth 695;254900;34.000;Østbirk;2017;https://www.biltorvet.dk/bil/abarth/695/1-4-t-jet-165-turismo/1744157
Fiat 500;249900;53.000;Odense;2014;https://www.biltorvet.dk/bil/fiat/500/1-4-16v-abarth-160hk-3d/1684489
Abarth 695;279800;32.000;Randers;2018;https://www.biltorvet.dk/bil/abarth/695/1-4-t-jet-165-turismo/1526012
Abarth 500;1234;-;Hedensted;2015;https://www.biltorvet.dk/bil/abarth/500/1-4-t-jet-esseesse-160hk-3d/1733406
Fiat 500C;84900;126.000;Maribo;2013;https://www.biltorvet.dk/bil/fiat/500c/0-9-twinair-turbo-s-85hk-cabr/1605450
Fiat 600;185000;90.000;Vejle Øst;1958;https://www.biltorvet.dk/bil/fiat/600/0-6-d/1736410
Fiat 500C;89900;83.000;Næstved;2017;https://www.biltorvet.dk/bil/fiat/500c/1-2-pop/1617240
Fiat Punto;89900;82.000;Kolding;2012;https://www.biltorvet.dk/bil/fiat/punto/1-4-m-air-135-lounge/1678594
FRM. MRK. ADRIA ADORA 472;128900;-;Hjørring;2014;https://www.biltorvet.dk/bil/-/-/-/1746052
Adria Twin;669995;26.200;Holstebro;2016;https://www.biltorvet.dk/bil/adria/-/600-sp-2-3-jtd-axess-120hk-3d-6g/1773923
Alfa Romeo Spider;145000;999.000;Vejle Øst;1984;https://www.biltorvet.dk/bil/alfa-romeo/spider/1-6/1634513
Alfa Romeo GTV;129000;79.000;Brenderup;1982;https://www.biltorvet.dk/bil/alfa-romeo/gtv/2-0/1627225
Alfa Romeo Alfetta;38000;116.000;Brenderup;1979;https://www.biltorvet.dk/bil/alfa-romeo/-/1-8/1755763
Alfa Romeo Alfetta;100000;133.000;Brenderup;1976;https://www.biltorvet.dk/bil/alfa-romeo/-/1-8/1766237
Alfa Romeo Spider;109000;147.000;Kongens Lyngby;1986;https://www.biltorvet.dk/bil/alfa-romeo/spider/2-0-128hk-cabr/1737858
Alfa Romeo 159;49900;118.000;Them;2008;https://www.biltorvet.dk/bil/alfa-romeo/159/1-9-jts/1613163
Alfa Romeo GTV;99900;129.000;Hedensted;2004;https://www.biltorvet.dk/bil/alfa-romeo/gtv/2-0-jts/1685487
Alfa Romeo Giulietta;50000;50.000;Hedensted;2015;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/170hk-5d/1732720
Alfa Romeo Giulietta;99900;60.000;Randers;2013;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-turbo-105/1671391
Alfa Romeo 159;39900;178.000;Ribe;2008;https://www.biltorvet.dk/bil/alfa-romeo/159/1-9-jts-160hk-6g/1605755
Alfa Romeo Giulia;299000;90.000;Helsingør;2017;https://www.biltorvet.dk/bil/alfa-romeo/giulia/2-0-turbo-200hk-8g-aut/1754762
Alfa Romeo Giulietta;104900;74.000;Kolding;2011;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-turbo-120-distinctive/1773780
Alfa Romeo 166;39900;322.000;Ribe;2003;https://www.biltorvet.dk/bil/alfa-romeo/166/2-4-20v-jtd-175hk-aut/1443727
Alfa Romeo 166;39900;322.000;Ribe;1999;https://www.biltorvet.dk/bil/alfa-romeo/166/2-5-v6-24v-190hk/1449612
Alfa Romeo Giulia;329900;49.000;Randers;2019;https://www.biltorvet.dk/bil/alfa-romeo/giulia/2-2-jtd-180-super-aut/1715198
Alfa Romeo MiTo;37500;216.500;Them;2011;https://www.biltorvet.dk/bil/alfa-romeo/mito/1-3-jtdm-progression-85hk-3d/1723551
Alfa Romeo 159;49900;207.000;Hvidovre;2006;https://www.biltorvet.dk/bil/alfa-romeo/159/2-2-jts-lusso/1666864
Alfa Romeo Stelvio;379900;53.000;Nærum;2017;https://www.biltorvet.dk/bil/alfa-romeo/stelvio/2-2-turbo-180hk-5d-8g-aut/1562411
Alfa Romeo Stelvio;449800;20.000;Viby;2020;https://www.biltorvet.dk/bil/alfa-romeo/stelvio/2-2-turbo-edizione-190hk-5d-8g-aut/1660958
Alfa Romeo Giulia;509900;14.000;Randers;2020;https://www.biltorvet.dk/bil/alfa-romeo/giulia/2-0-t-200-sprint-aut/1635481
Alfa Romeo GT;85900;111.000;Svendborg;2004;https://www.biltorvet.dk/bil/alfa-romeo/gt/2-0-jts-lusso/1735487
Alfa Romeo Giulietta;134900;167.000;Silkeborg;2011;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-75-tbi-quadrifoglio-verde/1735547
Alfa Romeo Giulietta;144900;110.000;Silkeborg;2015;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/2-0-jtd-150-sportiva/1758799
Alfa Romeo Giulietta;159900;105.000;Silkeborg;2011;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-75-tbi-quadrifoglio-verde/1759983
Alfa Romeo Giulietta;110000;169.000;Aabenraa;2012;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-75-tbi-quadrifoglio-verde/1660733
Alfa Romeo Giulia;239900;150.000;Silkeborg;2017;https://www.biltorvet.dk/bil/alfa-romeo/giulia/2-2-jtd-180-super-aut/1765781
Alfa Romeo Giulietta;234900;80.000;Silkeborg;2014;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-75-tbi-quadrifoglio-verde-tct/1726071
Alfa Romeo MiTo;59900;132.000;Them;2009;https://www.biltorvet.dk/bil/alfa-romeo/mito/1-3-jtd-90-distinctive/1749137
Alfa Romeo Giulietta;159900;67.000;Frederikshavn;2015;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-turbo-120-distinctive/1767631
